표준버스정류장ID,노선번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수
106000111,N62,용마폭포공원(00079),0,0,0,41,3,57,0,14,0,0,0,0
106000111,N62,용마폭포공원(00161),0,0,0,0,0,0,0,58,0,62,0,3
106000112,N62,용마폭포공원(00088),0,0,2,3,5,1,3,1,0,0,0,0
106000112,N62,용마폭포공원(00006),3,0,1,1,0,0,0,0,0,0,0,0
106000113,N62,용마산역(00160),0,0,0,0,0,0,0,40,5,41,1,7
106000113,N62,용마산역(00078),0,0,0,58,0,61,0,9,0,0,0,0
106000114,N62,용마산역(00007),4,3,2,1,0,0,0,0,0,0,0,0
106000114,N62,용마산역(00089),0,0,8,2,6,2,8,3,0,0,0,0
106000115,N62,용마산하늘채아파트(00077),0,0,13,49,9,89,1,13,0,0,0,0
106000115,N62,용마산하늘채아파트(00159),0,0,0,0,0,0,10,61,7,74,0,15
106000116,N62,용마산하늘채아파트(00090),0,0,9,2,13,5,16,2,0,0,0,0
106000116,N62,용마산하늘채아파트(00008),17,1,5,0,0,0,0,0,0,0,0,0
106000147,N72,사가정센트럴아이파크아파트(00023),48,14,57,46,0,0,0,0,0,0,0,0
106000147,N72,사가정센트럴아이파크아파트(00107),0,0,0,0,50,28,39,28,10,8,0,0
106000148,N72,홈플러스면목동점(00150),0,0,0,0,0,0,12,46,26,107,3,44
106000148,N72,홈플러스면목동점(00064),0,0,42,86,63,94,22,53,0,0,0,0
106000149,N72,면목두산아파트2차(00022),21,6,29,16,0,0,0,0,0,0,0,0
106000149,N72,면목두산아파트2차(00106),0,0,0,0,30,27,8,15,4,4,0,0
106000150,N72,면목두산아파트2차(00065),0,0,3,41,4,47,0,20,0,0,0,0
106000150,N72,면목두산아파트2차(00151),0,0,0,0,0,0,3,21,10,71,3,83
106000151,N72,사가정역(00105),0,0,0,0,58,8,29,6,10,1,0,0
106000151,N72,사가정역(00021),78,3,76,13,0,0,0,0,0,0,0,0
106000207,N26,신내교회.신내데시앙아파트(00133),0,0,0,0,0,0,0,21,0,52,0,46
106000207,N26,신내교회.신내데시앙아파트(00065),0,0,2,30,1,81,2,24,0,0,0,0
106000208,N26,신내교회.신내데시앙아파트(00003),34,0,39,0,0,0,0,0,0,0,0,0
106000208,N26,신내교회.신내데시앙아파트(00070),0,0,0,0,58,3,41,0,0,0,0,0
106000209,N26,신내초등학교(00004),29,2,21,2,0,0,0,0,0,0,0,0
106000209,N26,신내초등학교(00071),0,0,0,0,47,2,50,1,0,0,0,0
106000210,N26,신내새한아파트앞(00132),0,0,0,0,0,0,0,47,0,98,0,36
106000210,N26,신내새한아파트앞(00064),0,0,1,49,1,93,1,28,0,0,0,0
