표준버스정류장ID,노선번호,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,정류소명,X좌표,Y좌표,매칭된지하철역,역과거리(m)
100000366,N26,0,0,0,0,0,0,144,137,61,87,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N51,0,0,0,0,0,0,110,22,105,31,45,55,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N13,0,0,0,0,29,11,169,105,123,100,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000366,N13,38,25,250,163,125,138,0,0,0,0,0,0,동묘앞,127.018589326,37.5738521758,신설동,587.0301116936481
100000367,N51,69,118,67,86,43,70,0,0,0,0,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N15,0,0,0,0,120,72,331,186,187,48,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N72,0,0,0,0,74,36,76,72,71,54,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N26,74,36,185,99,12,7,0,0,0,0,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N15,119,192,186,252,118,79,0,0,0,0,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N26,0,0,0,0,116,95,218,81,70,29,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N51,0,0,0,0,57,80,142,119,39,59,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N13,74,84,210,210,65,47,0,0,0,0,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N13,0,0,0,0,94,74,181,196,58,120,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000367,N30,14,95,15,192,35,339,96,283,51,256,0,0,동묘앞,127.0195285734,37.574281529,신설동,498.99595152054485
100000368,N37,0,0,0,0,29,22,62,42,23,27,0,0,서대문역사거리.적십자병원,126.9675878497,37.5671081521,시청,786.2080065822905
